,country,gdi_gdi_2017,gii_gii_2017,gnipc_gnipc_2017,abr_abr_2017,mmr_mmr_2017,mys_mys_2017,hdi_hdi_2017,co2_prod_co2_prod_2017,pop_total_pop_total_2017,le_le_2017
141,"Palestine, State of",0.87,,7246.81197,48.274,21.5282111,9.27517986,0.718,0.6952429,4.7009465,74.833
142,Panama,1.012,0.412,29766.9949,78.616,49.4131553,10.2596569,0.814,2.73999692,4.096063,77.795
143,Papua New Guinea,0.915,0.821,3888.80435,58.459,209.789196,4.8097743,0.553,0.73070204,9.114796,65.103
144,Paraguay,0.982,0.439,13143.4607,73.784,68.6593201,8.46851492,0.739,1.24815039,6.355404,73.644
145,Peru,0.95,0.378,11870.2806,60.209,60.8168219,9.53528023,0.765,1.73574297,31.6054865,75.879
146,Philippines,0.982,0.396,8884.50942,50.202,84.1224672,8.44649983,0.7,1.26617948,106.7385015,71.516
147,Poland,1.007,0.125,28688.3416,11.378,1.88475737,13.0448024,0.874,8.73970475,38.532812,77.721
148,Portugal,0.99,0.084,32269.0416,7.847,11.1662561,9.21823025,0.857,5.34621777,10.30753,81.498
149,Qatar,1.018,0.176,91937.5636,8.798,6.24422972,9.73001957,0.862,36.9175313,2.7117545,80.717
150,Romania,0.98,0.253,26557.7564,38.65,12.7565855,11.1486502,0.823,4.04332679,19.698853,75.952
151,Russian Federation,1.007,0.18,25233.8418,18.286,8.74638494,12.3868169,0.827,11.4547415,145.452536,73.374
152,Rwanda,0.91,0.413,1874.02693,34.437,274.669117,4.25503,0.52,0.09444546,12.230339,65.941
153,Saint Kitts and Nevis,,,27979.475,41.163,,10.8494008,0.836,5.06058387,0.0477855,71.84
154,Saint Lucia,1.022,0.348,14341.3647,38.726,63.520174,8.48188337,0.742,2.77134616,0.1771635,73.127
155,Saint Vincent and the Grenadines,,,13521.3035,52.185,34.7961554,10.8334303,0.789,2.04814825,0.1055485,74.305
156,Samoa,0.994,,6056.21125,46.493,58.5918853,11.4713175,0.714,1.18234359,0.2076295,72.59
157,San Marino,0.975,,53913.5457,3.287,,10.9418189,0.867,,0.0340565,82.916
158,Sao Tome and Principe,,,3923.37071,86.522,143.509723,5.71074132,0.604,0.66925917,0.2080365,68.267
159,Saudi Arabia,0.901,0.296,48263.34,12.179,16.4481935,10.2202997,0.849,19.9120133,34.1931215,77.16
160,Senegal,0.893,0.52,3168.07815,69.81,278.220328,2.83068991,0.511,0.70987247,15.157793,67.75
161,Serbia,0.976,0.138,15536.1237,14.763,12.0050324,11.1624003,0.802,6.09917373,7.46488,76.213
162,Seychelles,1.057,,24898.7258,57.608,4.62615644,11.1023065,0.798,5.65017533,0.1018105,73.803
163,Sierra Leone,0.882,0.625,1568.07609,112.302,520.283893,3.50985003,0.448,0.14173765,7.6775655,58.652
164,Singapore,0.99,0.048,88700.7741,2.275,7.01094612,11.5461998,0.938,6.94155438,5.764487,83.224
165,Slovakia,0.996,0.193,29599.1479,26.932,4.79291726,12.76618,0.857,6.63933286,5.4394165,77.219
166,Slovenia,1.001,0.054,35849.5557,4.182,4.43436411,12.7002897,0.912,6.96566704,2.098392,81.071
167,Solomon Islands,0.944,,2572.23321,63.315,133.369908,5.792634,0.566,0.44402564,0.643634,69.988
168,Somalia,,,1052.99545,122.3,683.247724,,,0.04289091,14.864221,55.654
169,South Africa,0.984,0.414,13563.6712,63.706,133.435251,10.1421804,0.725,7.75725144,56.6412095,65.402
170,South Asia,0.838,0.519,6197.72164,32.2548794,149.496014,6.17440274,0.631,1.81615391,1903.436594,70.2452977
171,South Sudan,,,667.084995,101.003,1251.62654,5.72614002,0.378,0.13647675,10.6582255,55.309
172,Spain,0.986,0.068,39565.0567,6.932,3.97118137,10.076715,0.896,5.87307233,46.5841695,83.029
173,Sri Lanka,0.97,0.361,13212.3331,16.073,30.6169599,10.5787497,0.77,1.0635188,21.5068125,75.403
174,Sub-Saharan Africa,0.902,0.58,3688.76976,105.312512,555.412799,5.65382402,0.54,0.7707042,1008.377044,60.34873981
175,Sudan,0.867,0.561,4429.396,88.583,289.641381,3.72,0.52,0.50376319,40.679828,65.445
176,Suriname,0.987,0.424,15805.4391,60.866,99.2346167,8.26546741,0.71,4.12962783,0.5875595,72.417
177,Sweden,0.979,0.034,52868.779,4.316,4.51248827,12.4860497,0.941,4.22109743,10.05819,82.438
178,Switzerland,0.968,0.034,67250.5407,2.557,6.14413195,13.7331853,0.955,4.51650659,8.451687,83.412
179,Syrian Arab Republic,0.83,0.481,4525.17398,39.01,30.5349776,5.78452255,0.558,1.49834805,18.983373,68.481
180,Tajikistan,0.905,0.283,3709.16503,38.07,18.1953847,11.4210796,0.659,0.76835816,8.925525,69.905
181,Tanzania (United Republic of),0.933,0.527,2414.46582,129.643,280.373704,5.55728992,0.517,0.19965333,56.267032,65.999
182,Thailand,1.011,0.401,16246.1235,40.013,28.7306531,8.34388542,0.795,3.99654141,70.8982025,78.394
183,Timor-Leste,0.93,0.439,4461.62083,36.54,256.182177,5.44069493,0.614,0.55473824,1.243235,67.745
184,Togo,0.86,0.587,1974.23905,81.514,425.429652,4.85858011,0.522,0.25359124,7.852795,60.154
185,Tonga,,,6505.29869,19.097,83.9870908,10.8674152,0.734,1.28605986,0.105415,70.713
186,Trinidad and Tobago,0.989,0.28,26267.8115,39.07,28.4867389,11.3599993,0.811,27.2674889,1.478607,74.23
187,Tunisia,0.921,0.252,10618.9667,8.237,37.996069,7.40966511,0.732,2.64756813,11.811443,75.845
188,Turkmenistan,,,13134.7956,25.1,4.98530293,10.9515448,0.729,10.7834735,5.968383,68.916
189,Tuvalu,0.982,,5871.63618,33.415,,10.2890674,0.651,1.01514592,0.0108275,64.148
190,T¸rkiye,0.937,0.31,27238.3505,23.905,16.895703,8.26819038,0.833,5.24913891,82.0898265,77.141
191,Uganda,0.891,0.534,2078.31493,114.781,312.854605,5.97441784,0.534,0.13427091,40.127085,62.115
192,Ukraine,1.014,0.212,12032.7549,22.932,10.5084445,11.1476588,0.771,4.99539862,44.6572565,74.718
193,United Arab Emirates,0.978,0.112,71688.6278,5.593,8.59166348,12.0553999,0.898,23.4322303,9.0682955,79.504
194,United Kingdom,0.983,0.117,45607.6371,13.141,8.51876197,13.1613302,0.929,5.8634413,66.0648045,81.168
195,United States,0.993,0.21,61163.3269,18.423,19.143153,13.41329,0.928,15.8044296,329.7912305,78.821
196,Uruguay,1.023,0.267,22105.2466,48.21,16.4026377,8.83135986,0.815,1.80077143,3.4222005,77.625
197,Uzbekistan,0.962,0.255,6974.35807,20.097,29.7098852,11.7238398,0.714,3.40987868,31.945682,71.01
198,Vanuatu,0.94,,3039.20449,67.814,94.2913255,6.77092782,0.599,0.49235285,0.290239,69.71
199,Venezuela (Bolivarian Republic of),1.018,0.497,12322.101,88.435,174.808709,10.3106366,0.75,4.52262349,30.5634335,71.943
200,Very high human development,0.981,0.17,42255.006,16.9966863,13.6768534,12.023384,0.895,10.1106999,1616.407401,79.43129206
201,Viet Nam,1.005,0.384,8503.90597,34.291,123.828243,8.20521021,0.706,2.44214672,94.033048,73.963
202,World,0.944,0.473,16060.1912,44.9953915,209.08366,8.38635482,0.732,4.55855953,7565.663198,72.56898708
203,Yemen,0.473,0.809,1207.06249,60.335,179.46648,2.50849977,0.432,0.32278333,30.0343885,65.957
204,Zambia,0.934,0.545,3244.97946,128.315,155.823311,6.93834303,0.568,0.39600986,17.2980535,62.12
205,Zimbabwe,0.94,0.519,2067.75346,98.265,366.381032,8.46168995,0.552,0.63016313,14.751101,60.709
